id,nome,email,idade
1,""  ANA COSTA  "",""ANA@EMAIL.COM "",""25""
2,""pedro silva"",""pedro@"", ""trinta""
3,""maria "",, ""28""
4,""JOÃO SOUZA "","" joao@email.com "", "" 40""
5,"" lucas mendes "",""lucas.mendes@"", ""20""
6,""fernanda"",""FERNANDA@EMAIL.COM"",""vinte e dois""
7,"" julia p. "","" julia@email.com"",""35""
8,""marcos "",""marcos@"", ""27""
9,"" paula "","""", "" 31 ""
10,""roberto"",""roberto@email.com"","" 29""
11,"" CAMILA  "",""CAMILA@EMAIL.COM"",""vinte e cinco""
12,""andre "","" andre@email.com"",""38""
13,"" mariana "","" mariana@"", ""25""
14,""JOSE "","" jose@email.com "", ""trinta""
15,"" laura "","""", "" 29 ""
16,""fabio"",""fabio@"", ""31""
17,"" simone "","" simone@email.com"","" 40 ""
18,""renata "",""renata@"", ""27""
19,"" gabriel "","""", ""35""
20,""patricia"",""patricia@email.com"","" vinte e dois ""
